model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9821,0.042,0.9671,0.9971,0.9795,0.9513,0.9288,0.1641,0.8701,0.9875,0.9207,0.9818,30,0.9474,1.0,0.7936,0.8847,1.0
XGBoost,0.9549,0.07,0.9299,0.98,0.9565,0.9001,0.8712,0.1951,0.8014,0.941,0.8746,0.9579,30,0.8889,0.8888,0.7936,0.7671,1.0
LogisticRegression,0.9383,0.0653,0.9149,0.9616,0.9284,0.8919,0.8402,0.1946,0.7705,0.9098,0.8228,0.94,30,0.8947,0.6667,0.8968,0.7553,0.9327
RandomForest,0.8838,0.1599,0.8266,0.941,0.9105,0.7669,0.6815,0.2705,0.5848,0.7783,0.713,0.8923,30,0.5267,0.4645,0.7936,0.7778,1.0
ExtraTrees,0.8308,0.2024,0.7584,0.9033,0.8747,0.7119,0.6577,0.2802,0.5575,0.758,0.7005,0.8525,30,0.4767,0.4645,0.7936,0.7778,0.957
