label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds,n_instances
stage_binary,Standard 80/20,GradientBoosting,0.9873,0.962,1.0,0.9828,0.9863,0.9566,1.0,0.9873,1.0,0.0127,0.9834,0.9494,312.0,79.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,0.9747,0.9367,1.0,0.9808,0.965,0.901,1.0,0.9754,1.0,0.0253,0.9875,0.962,312.0,79.0,,,,
behavior_stage,Standard 80/20,LogisticRegression,0.9241,0.8608,0.9747,0.9407,0.9242,0.8503,0.9775,0.9238,0.9519,0.0278,0.855,0.4937,312.0,79.0,,,,
behavior_stage,Standard 80/20,ExtraTrees,0.9241,0.8608,0.9747,0.9028,0.9202,0.8344,0.9793,0.9241,0.9679,0.0438,0.8617,0.5696,312.0,79.0,,,,
stage_binary,Standard 80/20,ExtraTrees,0.9241,0.8608,0.9747,0.911,0.917,0.8408,0.974,0.9234,0.984,0.0599,0.9189,0.6709,312.0,79.0,,,,
stage_binary,Standard 80/20,LogisticRegression,0.9241,0.8608,0.9747,0.9038,0.9156,0.8408,0.9728,0.9227,0.9583,0.0342,0.8701,0.6456,312.0,79.0,,,,
stage_binary,LOIO,GradientBoosting,0.9724,0.956,0.9889,0.9277,0.9124,0.8544,0.9705,0.9713,,,,,,,,0.8939,,30.0
stage_binary,Standard 80/20,RandomForest,0.9114,0.8481,0.9747,0.9083,0.9053,0.8316,0.9723,0.9117,0.9872,0.0758,0.8991,0.6962,312.0,79.0,,,,
behavior_stage,LOIO,GradientBoosting,0.9365,0.9112,0.9617,0.9103,0.8762,0.8136,0.9389,0.9401,,,,,,,,0.8648,,30.0
behavior_stage,Standard 80/20,RandomForest,0.8861,0.8101,0.9494,0.8542,0.8727,0.7615,0.9488,0.8827,0.9583,0.0722,0.8647,0.519,312.0,79.0,,,,
stage_binary,LOIO,ExtraTrees,0.9333,0.9019,0.9647,0.8404,0.8288,0.7451,0.9124,0.9249,,,,,,,,0.8111,,30.0
behavior_stage,LOIO,LogisticRegression,0.8955,0.8636,0.9274,0.8685,0.8151,0.7481,0.8821,0.8998,,,,,,,,0.7978,,30.0
behavior_stage,LOIO,ExtraTrees,0.8932,0.8594,0.9271,0.8561,0.8059,0.7318,0.88,0.8889,,,,,,,,0.7825,,30.0
stage_binary,LOIO,LogisticRegression,0.9124,0.88,0.9448,0.8475,0.8046,0.727,0.8823,0.9153,,,,,,,,0.7809,,30.0
stage_binary,LOIO,RandomForest,0.9233,0.8914,0.9552,0.8161,0.7777,0.6878,0.8675,0.9184,,,,,,,,0.7721,,30.0
behavior_stage,LOIO,RandomForest,0.8781,0.8448,0.9115,0.8377,0.7683,0.6917,0.845,0.8724,,,,,,,,0.7669,,30.0
stage_binary,LOO,ExtraTrees,0.6939,0.49,0.8979,0.5483,0.5598,0.3951,0.7244,0.7104,,,,,,,1.0,0.5625,4.0,
stage_binary,LOO,RandomForest,0.6518,0.6193,0.6843,0.4738,0.4928,0.3609,0.6248,0.6893,,,,,,,1.0,0.4941,4.0,
behavior_stage,LOO,ExtraTrees,0.638,0.5085,0.7675,0.5489,0.4742,0.372,0.5764,0.6314,,,,,,,1.0,0.4762,4.0,
behavior_stage,LOO,RandomForest,0.6756,0.5616,0.7897,0.5869,0.4718,0.3432,0.6003,0.6575,,,,,,,1.0,0.4736,4.0,
stage_binary,LOO,GradientBoosting,0.5553,0.4486,0.662,0.4818,0.4542,0.3021,0.6063,0.6155,,,,,,,0.8,0.4562,4.0,
behavior_stage,LOO,GradientBoosting,0.5872,0.4365,0.7379,0.5983,0.444,0.3524,0.5357,0.604,,,,,,,1.0,0.4458,4.0,
stage_binary,LOO,LogisticRegression,0.5255,0.3205,0.7305,0.4544,0.4255,0.2716,0.5794,0.5803,,,,,,,1.0,0.4281,4.0,
behavior_stage,LOO,LogisticRegression,0.473,0.3679,0.5782,0.4628,0.3774,0.2584,0.4965,0.4762,,,,,,,1.0,0.3793,4.0,
