model,mean_accuracy,Cerber,Dharma,Jigsaw,WannaCry
LogisticRegression,0.8849,0.9216,0.7273,0.9091,0.9818
RandomForest,0.8815,0.9804,0.7273,0.9091,0.9091
ExtraTrees,0.8682,1.0,0.7091,0.9455,0.8182
XGBoost,0.8643,0.7843,0.7636,1.0,0.9091
SVM,0.8391,0.902,0.8364,0.9091,0.7091
GradientBoosting,0.7996,0.7255,0.8364,0.7636,0.8727
KNN,0.7611,0.8627,0.5273,0.9091,0.7455
