model,mean_accuracy,std,n_instances,Benign_mean,Cerber_mean,Dharma_mean,Jigsaw_mean,WannaCry_mean
RandomForest,0.9703,0.0699,30,0.92,1.0,0.9818,1.0,1.0
ExtraTrees,0.9703,0.0699,30,0.92,1.0,0.9818,1.0,1.0
XGBoost,0.9642,0.0711,30,0.92,0.9818,0.9818,0.9818,1.0
LogisticRegression,0.9618,0.0701,30,0.94,0.9455,0.9636,1.0,0.9818
GradientBoosting,0.9545,0.0804,30,0.9,0.9818,0.9818,0.9636,1.0
SVM,0.9516,0.0825,30,0.94,0.8659,0.9636,1.0,1.0
KNN,0.9237,0.0972,30,0.94,0.7895,0.9273,0.9455,1.0
