feature,importance
dlllist_unusual_path_hit_count,0.1986637457581308
pslist_wow64_count,0.1696277813044239
pslist_avg_children,0.08131465089871148
psscan_count,0.0552927652911311
handle_registry_ratio,0.053395852244664345
pslist_unique_names,0.04849241851392977
ldrmodules_max_per_process,0.04634843132342476
cmdline_script_tool_count,0.042556927062371394
svcscan_stopped,0.041163202690246516
handle_file_count,0.04064871150205702
svcscan_running,0.02945776693042415
ldrmodules_not_in_load,0.023970132598395547
ldrmodules_not_in_mem,0.022603941573918644
svcscan_total,0.020541193380419733
handle_section_count,0.02031861350605486
pslist_exited_count,0.017765314680791656
vad_total,0.008046888968579009
hidden_process_count,0.007045936457344299
cmdline_suspicious_count,0.006483039686694502
dlllist_crypto_ratio,0.006032101187735666
malfind_pid_count,0.005389531744009297
handle_total,0.004698175417155189
handle_mutex_count,0.004360641303726933
vad_max_regions_per_process,0.003987831671590055
malfind_rwx_region_count,0.0038388031552191557
pslist_avg_threads,0.00330680187505314
malfind_rwx_pid_count,0.00313356878473568
ldrmodules_suspicious_path_ratio,0.0028595444590267254
ldrmodules_suspicious_path_pid_count,0.0025556988679112107
filescan_total,0.002521157107136133
ldrmodules_avg_per_process,0.002133903239485762
handle_avg_per_process,0.001939104631555376
ldrmodules_not_in_init,0.00173272600111933
svcscan_security_stopped,0.0017092521016575002
handle_port_count,0.001299392187179633
vad_exec_ratio,0.0011097911072919684
cmdline_unusual_dir_ratio,0.0009547162656989251
cmdline_avg_length,0.0009175607909927968
malfind_avg_regions_per_process,0.0008906480883454079
handle_file_ratio,0.0008163093153767108
dlllist_crypto_hit_count,0.0006718064561415097
vad_private_region_count,0.0005864145618424932
dlllist_avg_load_total_per_process,0.0005779946927481879
vad_exec_count,0.0005603792083500164
vad_avg_regions_per_process,0.0005387191536231094
dlllist_unusual_path_ratio,0.0005292386394282214
ldrmodules_suspicious_path_hit_count,0.0005144746531290372
priv_total_enabled,0.000501476188656488
dlllist_avg_per_process,0.00048672497815848554
ldrmodules_total,0.0004659100957675505
dlllist_max_load_total_per_process,0.00045125409431983086
handle_registry_count,0.0004387446130483743
handle_event_count,0.00041642509214122195
vad_rwx_ratio,0.0004092493053375433
dlllist_unique_dlls,0.0003388177278958379
pslist_max_children,0.0003189600818002533
cmdline_count,0.00031753988961883545
handle_semaphore_count,0.0002969910956004097
handle_directory_count,0.0002718339388349771
dlllist_crypto_pid_count,0.0002215232945160756
handle_desktop_count,0.00017413817255809003
dlllist_avg_max_loadcount_per_process,0.00016722516726576267
vad_private_ratio,0.0001644423596401595
handle_timer_count,0.0001522766348733462
handle_token_count,0.00014533887895275415
vad_private_exec,0.00013123747648472844
dlllist_non_system,6.77050762404164e-05
handle_mutex_ratio,4.277554790816619e-05
vad_private_pid_count,3.0535695533401705e-05
malfind_private,1.895415132712194e-05
malfind_count,1.5482824937232225e-05
vad_pid_count,1.3908251407486922e-05
vad_rwx_region_count,1.081587635337556e-05
handle_process_count,7.774562709885404e-06
malfind_private_exec,7.4446381435280715e-06
cmdline_max_length,5.611247806965584e-06
dlllist_unusual_path_pid_count,3.377941384786154e-06
vad_priv_exec_ratio,6.951765164351834e-07
cmdline_unusual_dir_count,5.964383671668436e-07
pslist_count,2.794963245982186e-07
malfind_rwx_ratio,2.6568708125646595e-07
handle_thread_count,5.948577621242581e-08
cmdline_with_args,6.780506112395359e-09
pslist_parent_missing_count,6.694180037489644e-10
dlllist_total,3.278083329925748e-10
malfind_max_regions_per_process,4.2023719293288745e-17
malfind_shellcode_regions,0.0
vad_rwx_pid_count,0.0
malfind_mz_regions,0.0
