model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
GradientBoosting,0.357,0.2847,0.0781,0.636,0.3611,0.4072,0.2912,0.1586,0.1358,0.4467,0.293,0.3722,4,0.9,0.1944,0.4844,0.1333,0.3529
XGBoost,0.3374,0.3138,0.0299,0.645,0.3426,0.4206,0.2672,0.1966,0.0745,0.4598,0.2705,0.364,4,0.98,0.0874,0.3972,0.1111,0.473
LogisticRegression,0.3643,0.2458,0.1234,0.6053,0.3704,0.3557,0.24,0.1176,0.1248,0.3553,0.243,0.4012,4,0.88,0.0784,0.2607,0.2606,0.3605
RandomForest,0.3199,0.3155,0.0108,0.6291,0.3241,0.3883,0.2302,0.2201,0.0144,0.4459,0.2319,0.3286,4,1.0,0.1333,0.2721,0.0,0.5152
ExtraTrees,0.242,0.2676,-0.0203,0.5042,0.2454,0.2905,0.1932,0.2192,-0.0215,0.408,0.1952,0.2693,4,1.0,0.0874,0.1834,0.0,0.5022
