,Cerber,Dharma,Jigsaw,WannaCry
Cerber,1.0,0.9966756366751149,0.9999520489475519,0.9986489362065818
Dharma,0.9966756366751149,1.0,0.9962054549386079,0.9991261883766396
Jigsaw,0.9999520489475519,0.9962054549386079,1.0,0.99826815514534
WannaCry,0.9986489362065818,0.9991261883766396,0.99826815514534,1.0
