,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_suspicious_path_ratio,ldrmodules_avg_per_process,ldrmodules_max_per_process,vad_rwx_ratio,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_region_count,vad_private_exec,malfind_count,malfind_rwx_region_count,malfind_private_exec,malfind_avg_regions_per_process,pslist_count,pslist_wow64_count,pslist_ransom_procs,pslist_exited_count,pslist_parent_missing_count,hidden_process_count,handle_mutex_count,handle_mutex_ratio,handle_event_count,handle_section_count,handle_token_count,svcscan_security_stopped,svcscan_stopped,svcscan_running,dlllist_unusual_path_ratio,dlllist_crypto_ratio,dlllist_unusual_path_hit_count,cmdline_suspicious_count,cmdline_unusual_dir_ratio,filescan_encrypted,filescan_ransom_notes,priv_total_enabled,netstat_outbound_ratio
Cerber,187.3684210526316,231.21052631578948,187.3684210526316,0.004357894736842106,24.172105263157896,129.8421052631579,0.0009578947368421053,0.3373842105263158,0.0009578947368421053,16.05263157894737,16.05263157894737,4.842105263157895,4.842105263157895,4.842105263157895,1.6121052631578945,95.94736842105263,3.1578947368421053,0.0,2.6842105263157894,5.7894736842105265,7.315789473684211,882.2631578947369,0.021978947368421053,10408.894736842105,1244.9473684210527,630.1052631578947,4.578947368421052,423.42105263157896,210.57894736842104,0.013463157894736844,0.03241578947368421,63.8421052631579,2.789473684210526,0.09174736842105262,13.368421052631579,0.0,1103.8947368421052,0.24595789473684207
Dharma,67.05,94.7,67.05,0.002035,18.1685,66.65,0.0009250000000000001,0.33587,0.0009400000000000001,16.25,16.45,8.3,7.9,8.3,5.2,103.3,2.4,1.0,7.35,4.95,1.85,797.75,0.022985,8813.25,1028.95,753.75,3.0,415.84615384615387,217.76923076923077,0.012985,0.028575,35.35,1.45,0.039325000000000006,1172.35,0.0,1243.55,0.25
Jigsaw,76.65,113.25,76.65,0.00547,27.576000000000004,114.95,0.0009750000000000002,0.33663999999999994,0.0009750000000000002,16.25,16.25,5.45,5.45,5.45,1.815,92.75,1.5,0.0,2.7,4.75,9.55,748.25,0.01896,10198.65,1186.45,661.25,4.5,424.3,209.7,0.01316,0.03301,63.7,1.15,0.056495000000000004,0.75,0.0,1072.65,0.2452
WannaCry,717.8947368421053,765.0,717.8947368421053,0.004194999999999999,31.93421052631579,128.94736842105263,0.0008999999999999998,0.323435,0.0008999999999999998,16.31578947368421,16.31578947368421,4.428571428571429,4.428571428571429,4.428571428571429,3.2857142857142856,98.63157894736842,5.2631578947368425,0.0,2.6315789473684212,5.2631578947368425,4.65,872.2631578947369,0.02398947368421053,9358.315789473685,1072.3684210526317,540.421052631579,4.176470588235294,422.0,206.94117647058823,0.01359,0.029269999999999997,38.26315789473684,1.0526315789473684,0.0429,44.63157894736842,0.05263157894736842,1178.2631578947369,0.2719052631578947
