feature,consistency,weighted_score,mean_peak,mean_delta,mean_rel_delta,cohens_d,cv_peak,n_families,cohens_d_sep,benign_mean,ransom_mean,direction,cohens_d_sep_norm,stability,universal_score,tier
vad_avg_regions_per_process,0.75,0.019,182.383,3.263,0.025,0.861,0.014,4,2.908,189.679,182.383,benign_higher,6.386246046423828e-05,0.9861932938856016,1.196633874576457e-06,2
svcscan_stopped,0.75,0.016,420.385,6.469,0.022,0.669,0.008,4,3.209,409.0,420.385,ransomware_higher,7.04727082633221e-05,0.9920634920634921,1.1186144168781285e-06,2
vad_rwx_ratio,0.25,0.012,0.001,-0.0,0.047,-0.445,0.016,4,4.221,0.001,0.001,ransomware_higher,9.26971958801753e-05,0.984251968503937,1.0948487702382909e-06,2
dlllist_avg_max_loadcount_per_process,0.25,0.001,5.421,-0.163,0.006,-0.627,0.051,4,50.681,19.431,5.421,benign_higher,0.0011130032182902546,0.9514747859181732,1.058994498848958e-06,2
malfind_private,0.25,0.104,5.705,-0.638,0.415,-0.329,0.321,4,0.61,4.587,5.705,ransomware_higher,1.3396183247312706e-05,0.757002271006813,1.0546578786680707e-06,3
malfind_private_exec,0.25,0.104,5.705,-0.638,0.415,-0.329,0.321,4,0.61,4.587,5.705,ransomware_higher,1.3396183247312706e-05,0.757002271006813,1.0546578786680707e-06,3
cmdline_avg_length,0.75,0.144,82.621,10.976,0.192,0.523,0.296,4,0.342,91.005,82.621,benign_higher,7.510647000952371e-06,0.7716049382716049,8.345163334391522e-07,2
handle_mutex_ratio,0.5,0.019,0.021,0.0,0.037,0.185,0.064,4,2.042,0.018,0.021,ransomware_higher,4.484427244428286e-05,0.9398496240601504,8.007905793621939e-07,2
psscan_count,0.25,0.006,103.676,-0.042,0.023,-0.039,0.009,4,6.127,109.547,103.676,benign_higher,0.0001345547782889917,0.9910802775024778,8.001275220356297e-07,2
handle_process_count,0.25,0.015,875.985,10.336,0.058,0.71,0.012,4,2.241,900.44,875.985,benign_higher,4.921450271676685e-05,0.9881422924901185,7.294639730746074e-07,2
pslist_exited_count,0.25,0.102,4.276,0.42,0.406,0.205,0.601,4,0.497,3.0,4.276,ransomware_higher,1.0914595203138386e-05,0.6246096189881324,6.953708374266804e-07,3
vad_exec_count,0.25,0.009,5748.116,38.693,0.038,0.38,0.014,4,3.419,6017.707,5748.116,benign_higher,7.508450905338057e-05,0.9861932938856016,6.6643055372823e-07,2
dlllist_crypto_ratio,0.25,0.006,0.032,-0.0,0.024,-0.15,0.02,4,5.119,0.035,0.032,benign_higher,0.00011241813449671106,0.9803921568627451,6.612831440983004e-07,2
handle_avg_per_process,0.75,0.018,498.288,8.556,0.024,0.816,0.015,4,1.646,485.769,498.288,ransomware_higher,3.614773381160117e-05,0.9852216748768474,6.410435552796268e-07,2
filescan_total,0.75,0.028,5975.529,162.4,0.038,0.427,0.067,4,1.071,5543.573,5975.529,ransomware_higher,2.352018402929821e-05,0.9372071227741331,6.172119520340674e-07,2
cmdline_max_length,0.25,0.037,1140.179,-10.076,0.149,-0.066,0.168,4,0.746,997.12,1140.179,ransomware_higher,1.6382873282779146e-05,0.8561643835616439,5.189780063894079e-07,3
handle_mutex_count,0.25,0.013,807.326,1.629,0.052,0.034,0.072,4,1.907,696.44,807.326,ransomware_higher,4.1879543364959563e-05,0.9328358208955223,5.078675967765618e-07,3
cmdline_suspicious_count,0.75,0.786,1.792,0.728,1.049,1.244,0.428,4,0.042,1.76,1.792,ransomware_higher,9.223601580116946e-07,0.700280112044818,5.07685633191311e-07,2
netstat_listening,0.5,0.013,27.822,0.328,0.027,0.878,0.004,4,1.711,28.0,27.822,benign_higher,3.7575195960904986e-05,0.9960159362549801,4.865314218045466e-07,3
handle_semaphore_count,0.25,0.007,1673.262,2.728,0.029,0.052,0.023,4,3.149,1795.68,1673.262,benign_higher,6.915505089473395e-05,0.9775171065493647,4.7320171677726073e-07,2
svcscan_security_stopped,0.5,0.016,4.042,0.048,0.032,0.072,0.156,4,1.521,5.0,4.042,benign_higher,3.3402614293709226e-05,0.8650519031141869,4.623199210201969e-07,3
ldrmodules_suspicious_path_pid_count,0.5,0.045,1.634,-0.116,0.091,-0.221,0.42,4,0.574,1.24,1.634,ransomware_higher,1.2605588826159825e-05,0.7042253521126761,3.994728853360508e-07,3
malfind_rwx_pid_count,0.5,0.035,2.394,-0.1,0.071,-0.135,0.258,4,0.596,2.027,2.394,ransomware_higher,1.3088729861308808e-05,0.794912559618442,3.6415385146725623e-07,3
vad_private_pid_count,0.25,0.009,92.448,0.422,0.036,0.209,0.023,4,1.856,96.413,92.448,benign_higher,4.075953460165965e-05,0.9775171065493647,3.5858828095301746e-07,3
vad_pid_count,0.25,0.009,93.448,0.434,0.036,0.214,0.023,4,1.856,97.413,93.448,benign_higher,4.075953460165965e-05,0.9775171065493647,3.5858828095301746e-07,3
svcscan_running,0.25,0.013,210.047,2.42,0.051,0.508,0.027,4,1.263,217.242,210.047,benign_higher,2.773668760878024e-05,0.9737098344693282,3.510973115035474e-07,3
cmdline_unusual_dir_count,0.5,0.391,6.247,1.704,0.782,1.085,0.321,4,0.043,6.333,6.247,benign_higher,9.4432111415483e-07,0.757002271006813,2.795076121381821e-07,3
dlllist_unusual_path_ratio,0.25,0.009,0.012,-0.001,0.035,-0.694,0.213,4,1.657,0.017,0.012,benign_higher,3.6389304329175663e-05,0.8244023083264632,2.699948383862992e-07,3
svcscan_total,0.5,0.015,631.432,8.875,0.03,0.803,0.01,4,0.678,627.242,631.432,ransomware_higher,1.4889528265045927e-05,0.9900990099009901,2.2113160789672167e-07,3
hidden_process_count,0.25,0.015,5.951,-0.897,0.061,-0.356,0.524,4,1.02,9.133,5.951,benign_higher,2.2400175265998298e-05,0.6561679790026247,2.2047416600392027e-07,3
pslist_count,0.25,0.015,97.724,0.855,0.06,0.277,0.041,4,0.677,100.413,97.724,benign_higher,1.4867567308902792e-05,0.9606147934678195,2.142300764971584e-07,3
cmdline_with_args,0.25,0.015,97.724,0.855,0.06,0.277,0.041,4,0.677,100.413,97.724,benign_higher,1.4867567308902792e-05,0.9606147934678195,2.142300764971584e-07,3
cmdline_count,0.25,0.014,97.724,0.78,0.057,0.252,0.041,4,0.677,100.413,97.724,benign_higher,1.4867567308902792e-05,0.9606147934678195,1.9994807139734784e-07,3
dlllist_unusual_path_pid_count,0.75,0.025,5.732,0.131,0.034,0.157,0.142,4,0.412,6.067,5.732,benign_higher,9.04791393097186e-06,0.8756567425569177,1.980716709932544e-07,2
handle_desktop_count,0.25,0.01,76.414,0.088,0.041,0.019,0.05,4,0.794,73.373,76.414,ransomware_higher,1.7436999177649656e-05,0.9523809523809523,1.6606665883475862e-07,3
handle_token_count,0.25,0.013,595.641,-32.132,0.051,-0.443,0.099,4,0.624,558.827,595.641,ransomware_higher,1.3703636633316605e-05,0.9099181073703367,1.6209943242321737e-07,3
pslist_max_children,0.25,0.007,37.918,-0.089,0.028,-0.187,0.015,4,1.006,37.347,37.918,ransomware_higher,2.2092721879994398e-05,0.9852216748768474,1.523635991723752e-07,3
handle_section_count,0.75,0.019,1153.669,20.615,0.026,0.28,0.057,4,0.221,1139.013,1153.669,ransomware_higher,4.853371307632964e-06,0.946073793755913,8.724130070484989e-08,2
handle_file_count,0.25,0.005,1747.708,-0.808,0.021,-0.008,0.052,4,0.787,1818.8,1747.708,benign_higher,1.7283272484647707e-05,0.9505703422053231,8.214483120079707e-08,3
handle_timer_count,0.5,0.008,895.467,1.825,0.015,0.034,0.053,4,0.471,873.04,895.467,ransomware_higher,1.034361034341686e-05,0.9496676163342831,7.85839342329866e-08,3
pslist_ransom_procs,0.25,0.013,0.25,0.013,0.053,0.03,1.732,4,0.577,0.0,0.25,ransomware_higher,1.2671471694589232e-05,0.3660322108345534,6.02961683856735e-08,3
priv_total_enabled,0.25,0.021,1138.331,15.695,0.084,0.305,0.06,4,0.131,1147.24,1138.331,benign_higher,2.8768852547507617e-06,0.9433962264150942,5.699489655638301e-08,3
ldrmodules_max_per_process,0.5,0.135,99.083,8.047,0.27,0.379,0.286,4,0.024,98.4,99.083,ransomware_higher,5.270629474352541e-07,0.7776049766718507,5.532931407757333e-08,3
handle_thread_count,0.5,0.005,1654.423,2.639,0.009,0.022,0.069,4,0.45,1706.053,1654.423,benign_higher,9.882430264411014e-06,0.9354536950420954,4.622277953419557e-08,3
pslist_unique_names,0.5,0.006,52.914,0.064,0.012,0.033,0.044,4,0.338,53.693,52.914,benign_higher,7.422803176379828e-06,0.9578544061302682,4.265978836999902e-08,3
dlllist_avg_per_process,0.25,0.003,55.125,-3.156,0.013,-0.717,0.096,4,0.396,53.018,55.125,ransomware_higher,8.696538632681691e-06,0.9124087591240875,2.380439406755937e-08,3
handle_port_count,0.25,0.001,2025.728,-15.028,0.004,-0.199,0.033,4,0.894,1966.56,2025.728,ransomware_higher,1.9633094791963212e-05,0.9680542110358181,1.900590008902538e-08,3
vad_rwx_pid_count,0.5,0.007,3.9,-0.142,0.013,-0.459,0.044,4,0.115,3.88,3.9,ransomware_higher,2.5255099564605923e-06,0.9578544061302682,1.693349587665148e-08,3
pslist_avg_threads,0.25,0.001,13.33,-0.061,0.006,-0.09,0.048,4,0.756,12.845,13.33,ransomware_higher,1.66024828442105e-05,0.9541984732824427,1.5842063782643608e-08,3
pslist_avg_children,0.25,0.006,4.634,-0.035,0.025,-0.13,0.05,4,0.109,4.608,4.634,ransomware_higher,2.393744219601779e-06,0.9523809523809523,1.3678538397724449e-08,3
