model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.4829,0.2254,0.2278,0.7379,0.4855,0.4524,0.3676,0.1734,0.1714,0.5639,0.37,0.5018,3,,0.1874,0.5333,0.3822
ExtraTrees,0.4435,0.2839,0.1223,0.7648,0.4469,0.4053,0.2942,0.1747,0.0965,0.4919,0.2963,0.4724,3,,0.1294,0.4774,0.2758
LogisticRegression,0.4091,0.1786,0.207,0.6112,0.4116,0.3909,0.2887,0.1122,0.1618,0.4156,0.2903,0.4418,3,1.0,0.1606,0.3361,0.3694
XGBoost,0.3206,0.0716,0.2396,0.4016,0.3215,0.2556,0.2353,0.0491,0.1797,0.2909,0.2359,0.3798,3,1.0,0.193,0.2238,0.2892
GradientBoosting,0.2506,0.0865,0.1528,0.3485,0.2508,0.3129,0.1947,0.0912,0.0915,0.2979,0.1951,0.2906,3,1.0,0.1668,0.1207,0.2966
