model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9653,0.0468,0.947,0.9837,0.9562,0.9446,0.9272,0.1317,0.8755,0.9788,0.9075,0.9653,25,1.0,0.9731,0.73,0.9327
XGBoost,0.963,0.0456,0.9451,0.9809,0.9611,0.9351,0.909,0.1562,0.8478,0.9703,0.9061,0.9654,25,0.9444,0.9672,0.7476,0.9415
LogisticRegression,0.9291,0.0741,0.9001,0.9581,0.91,0.9011,0.8783,0.1624,0.8146,0.942,0.8451,0.9302,25,1.0,0.896,0.6059,0.8896
RandomForest,0.9329,0.0808,0.9012,0.9645,0.9221,0.9152,0.8776,0.1719,0.8103,0.945,0.8654,0.9379,25,0.9444,0.9837,0.7168,0.7989
ExtraTrees,0.9405,0.0685,0.9136,0.9673,0.9319,0.9154,0.8687,0.1727,0.801,0.9364,0.854,0.9452,25,0.9444,0.8634,0.7326,0.8585
