label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds,n_instances
stage_binary,Standard 80/20,GradientBoosting,0.9873,0.962,1.0,0.9808,0.9855,0.9521,1.0,0.9873,1.0,0.0127,0.997,0.9873,312.0,79.0,,,,
stage_binary,Standard 80/20,RandomForest,0.9494,0.8987,0.9873,0.9427,0.9427,0.8783,0.9865,0.9494,0.9904,0.041,0.9376,0.8354,312.0,79.0,,,,
stage_binary,Standard 80/20,XGBoost,0.9494,0.8987,0.9873,0.9329,0.9415,0.8764,0.9863,0.9488,0.9936,0.0442,0.9305,0.7722,312.0,79.0,,,,
stage_binary,LOIO,GradientBoosting,0.9821,0.9671,0.9971,0.9513,0.9288,0.8701,0.9875,0.9818,,,,,,,,0.9207,,30.0
stage_binary,Standard 80/20,LogisticRegression,0.9367,0.8861,0.9873,0.9234,0.9276,0.8614,0.9855,0.9364,0.9744,0.0377,0.8774,0.6582,312.0,79.0,,,,
behavior_stage,Standard 80/20,XGBoost,0.9241,0.8608,0.9747,0.904,0.8998,0.8164,0.9646,0.9234,1.0,0.0759,0.8932,0.6962,312.0,79.0,,,,
behavior_stage,Standard 80/20,LogisticRegression,0.9114,0.8481,0.962,0.9075,0.8993,0.8133,0.9639,0.912,0.9583,0.0469,0.8664,0.5063,312.0,79.0,,,,
stage_binary,Standard 80/20,ExtraTrees,0.9114,0.8481,0.9747,0.8948,0.8987,0.8188,0.9665,0.9109,0.9744,0.063,0.9154,0.7595,312.0,79.0,,,,
stage_binary,LOIO,XGBoost,0.9549,0.9299,0.98,0.9001,0.8712,0.8014,0.941,0.9579,,,,,,,,0.8746,,30.0
behavior_stage,LOIO,GradientBoosting,0.929,0.9041,0.9538,0.9011,0.8612,0.7992,0.9231,0.9318,,,,,,,,0.8544,,30.0
behavior_stage,Standard 80/20,ExtraTrees,0.8734,0.7975,0.9367,0.8532,0.8521,0.7657,0.9248,0.8724,0.9583,0.0849,0.8889,0.6456,312.0,79.0,,,,
behavior_stage,Standard 80/20,RandomForest,0.8608,0.7722,0.9367,0.8432,0.8469,0.7543,0.9234,0.8597,0.9327,0.0719,0.8898,0.6076,312.0,79.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,0.8734,0.7975,0.9494,0.8387,0.841,0.7432,0.9237,0.8724,1.0,0.1266,0.9884,0.962,312.0,79.0,,,,
stage_binary,LOIO,LogisticRegression,0.9383,0.9149,0.9616,0.8919,0.8402,0.7705,0.9098,0.94,,,,,,,,0.8228,,30.0
behavior_stage,LOIO,XGBoost,0.9251,0.9025,0.9477,0.8875,0.8162,0.7441,0.8883,0.9312,,,,,,,,0.8232,,30.0
behavior_stage,LOIO,LogisticRegression,0.8954,0.8633,0.9274,0.8611,0.8099,0.7432,0.8765,0.9008,,,,,,,,0.7915,,30.0
behavior_stage,LOIO,ExtraTrees,0.8731,0.8397,0.9066,0.818,0.7387,0.6622,0.8153,0.8748,,,,,,,,0.7487,,30.0
behavior_stage,LOIO,RandomForest,0.8556,0.8249,0.8864,0.8095,0.6913,0.617,0.7656,0.8669,,,,,,,,0.7169,,30.0
stage_binary,LOIO,RandomForest,0.8838,0.8266,0.941,0.7669,0.6815,0.5848,0.7783,0.8923,,,,,,,,0.713,,30.0
stage_binary,LOIO,ExtraTrees,0.8308,0.7584,0.9033,0.7119,0.6577,0.5575,0.758,0.8525,,,,,,,,0.7005,,30.0
stage_binary,LOO,GradientBoosting,0.6522,0.3098,0.9945,0.5401,0.4549,0.2098,0.7001,0.6232,,,,,,,0.64,0.4552,4.0,
stage_binary,LOO,LogisticRegression,0.5036,0.1767,0.8306,0.4513,0.4411,0.1329,0.7493,0.5465,,,,,,,1.0,0.4437,4.0,
behavior_stage,LOO,ExtraTrees,0.6199,0.4538,0.786,0.5254,0.4181,0.2483,0.5879,0.6229,,,,,,,,0.4191,4.0,
stage_binary,LOO,RandomForest,0.6447,0.4158,0.8736,0.3972,0.3877,0.3138,0.4616,0.6445,,,,,,,0.92,0.388,4.0,
behavior_stage,LOO,RandomForest,0.6043,0.4477,0.7608,0.462,0.3699,0.3395,0.4003,0.606,,,,,,,,0.3703,4.0,
stage_binary,LOO,ExtraTrees,0.5636,0.2875,0.8398,0.3517,0.3699,0.2738,0.466,0.5992,,,,,,,1.0,0.3713,4.0,
behavior_stage,LOO,XGBoost,0.5666,0.3864,0.7468,0.4305,0.358,0.3165,0.3995,0.5878,,,,,,,1.0,0.358,4.0,
stage_binary,LOO,XGBoost,0.5719,0.2413,0.9025,0.4513,0.3481,0.1975,0.4987,0.5278,,,,,,,0.9733,0.3483,4.0,
behavior_stage,LOO,LogisticRegression,0.3853,0.3092,0.4615,0.3591,0.3023,0.2365,0.368,0.412,,,,,,,1.0,0.3033,4.0,
behavior_stage,LOO,GradientBoosting,0.4235,0.2649,0.5821,0.3368,0.2878,0.2321,0.3434,0.4554,,,,,,,1.0,0.2882,4.0,
