model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
XGBoost,0.9573,0.0887,0.9256,0.989,0.9474,0.9479,0.944,0.1162,0.9024,0.9856,0.9309,0.9552,30,1.0,0.9245,0.7538,0.9857,1.0
RandomForest,0.9515,0.1087,0.9126,0.9904,0.9399,0.941,0.9427,0.1281,0.8969,0.9885,0.9289,0.9471,30,1.0,0.9511,0.7461,0.9857,0.9733
GradientBoosting,0.9482,0.1033,0.9112,0.9852,0.9361,0.9424,0.9323,0.1334,0.8846,0.9801,0.9165,0.9513,30,1.0,0.8818,0.7123,1.0,1.0
ExtraTrees,0.9391,0.1129,0.8987,0.9795,0.9248,0.934,0.9301,0.1414,0.8795,0.9807,0.9137,0.9354,30,1.0,0.9184,0.6909,0.9714,1.0
LogisticRegression,0.9289,0.1064,0.8908,0.9669,0.9135,0.9359,0.9192,0.128,0.8734,0.965,0.9017,0.9249,30,1.0,0.8704,0.7627,0.8992,0.9829
