,precision,recall,f1-score,support
Early (benign/pre-launch/pre-encryption),0.972972972972973,0.9473684210526315,0.96,38.0
Late (encrypting/post-encryption),0.8823529411764706,0.9375,0.9090909090909091,16.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.9276629570747218,0.9424342105263157,0.9345454545454546,54.0
weighted avg,0.9461225931814168,0.9444444444444444,0.9449158249158249,54.0
