label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds,n_instances
behaviour_binary,Standard 80/20,GradientBoosting,0.9667,0.9,1.0,0.9722,0.9657,0.8845,1.0,0.9669,1.0,0.0333,0.9889,0.9667,120.0,30.0,,,,
behaviour_binary,Standard 80/20,RandomForest,0.9,0.7992,1.0,0.9028,0.8971,0.7619,1.0,0.9006,0.9667,0.0667,0.8873,0.6667,120.0,30.0,,,,
behaviour_binary,Standard 80/20,ExtraTrees,0.8667,0.7333,0.9667,0.8472,0.8565,0.697,0.9663,0.8641,0.975,0.1083,0.8721,0.6667,120.0,30.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,0.9333,0.8333,1.0,0.7917,0.8439,0.5212,1.0,0.9275,1.0,0.0667,0.9844,0.9667,120.0,30.0,,,,
behaviour_binary,LOIO,GradientBoosting,0.9146,0.8627,0.9666,0.887,0.8175,0.7152,0.9198,0.9189,,,,,,,,0.835,,25.0
behaviour_binary,Standard 80/20,LogisticRegression,0.8333,0.7,0.9667,0.8056,0.8168,0.6534,0.9556,0.8278,0.9917,0.1584,0.8949,0.7,120.0,30.0,,,,
behavior_stage,LOIO,LogisticRegression,0.8857,0.8182,0.9531,0.8738,0.8072,0.7002,0.9142,0.8976,,,,,,,,0.829,,25.0
behavior_stage,LOIO,RandomForest,0.8989,0.8439,0.9539,0.84,0.8004,0.6968,0.904,0.884,,,,,,,,0.8174,,25.0
behavior_stage,Standard 80/20,LogisticRegression,0.9,0.8,1.0,0.7667,0.7976,0.4722,1.0,0.8968,1.0,0.1,0.9171,0.8,120.0,30.0,,,,
behavior_stage,LOIO,GradientBoosting,0.8863,0.8133,0.9592,0.845,0.7905,0.67,0.911,0.8889,,,,,,,,0.8084,,25.0
behavior_stage,Standard 80/20,ExtraTrees,0.8667,0.7333,0.9667,0.7417,0.7595,0.4642,0.9368,0.8683,0.975,0.1083,0.8876,0.7,120.0,30.0,,,,
behaviour_binary,LOIO,LogisticRegression,0.8606,0.7946,0.9266,0.82,0.7579,0.6512,0.8647,0.8571,,,,,,,,0.7883,,25.0
behaviour_binary,LOIO,ExtraTrees,0.8741,0.8085,0.9398,0.8,0.754,0.6396,0.8684,0.8369,,,,,,,,0.7799,,25.0
behavior_stage,LOIO,ExtraTrees,0.8556,0.7861,0.9251,0.7967,0.7444,0.6321,0.8567,0.8379,,,,,,,,0.7766,,25.0
behaviour_binary,LOIO,RandomForest,0.8408,0.764,0.9177,0.77,0.7102,0.5886,0.8317,0.8072,,,,,,,,0.7547,,25.0
behavior_stage,Standard 80/20,RandomForest,0.8667,0.7333,0.9667,0.6417,0.6545,0.4342,0.921,0.8527,0.9833,0.1166,0.8548,0.5333,120.0,30.0,,,,
behaviour_binary,LOO,ExtraTrees,0.5783,0.2165,0.94,0.403,0.4063,0.2284,0.5841,0.5958,,,,,,,1.0,0.4097,3.0,
behaviour_binary,LOO,RandomForest,0.5926,0.2791,0.9062,0.3899,0.3595,0.2353,0.4836,0.5687,,,,,,,0.9067,0.3624,3.0,
behaviour_binary,LOO,LogisticRegression,0.4335,0.1542,0.7128,0.4643,0.3241,0.1461,0.502,0.4214,,,,,,,1.0,0.3283,3.0,
behavior_stage,LOO,GradientBoosting,0.3705,0.2474,0.4936,0.3688,0.31,0.199,0.421,0.3985,,,,,,,1.0,0.3117,3.0,
behaviour_binary,LOO,GradientBoosting,0.4314,0.0656,0.7972,0.2817,0.2772,0.0939,0.4605,0.439,,,,,,,1.0,0.2815,3.0,
behavior_stage,LOO,RandomForest,0.5024,0.3128,0.6921,0.2853,0.2418,0.1541,0.3296,0.4786,,,,,,,,0.2423,3.0,
behavior_stage,LOO,ExtraTrees,0.449,0.2478,0.6503,0.3302,0.2293,0.1628,0.2958,0.4501,,,,,,,,0.2309,3.0,
behavior_stage,LOO,LogisticRegression,0.3166,0.1654,0.4678,0.2901,0.2192,0.0958,0.3426,0.3346,,,,,,,1.0,0.2214,3.0,
