model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Jigsaw_macro_f1
RandomForest,0.9879,0.032,0.9717,1.0041,0.981,0.9869,0.9867,0.035,0.969,1.0045,0.9792,0.9877,15,1.0,0.9602
ExtraTrees,0.9697,0.0561,0.9413,0.9981,0.9524,0.9619,0.9659,0.0622,0.9345,0.9974,0.9465,0.969,15,1.0,0.8978
GradientBoosting,0.9806,0.0552,0.9527,1.0085,0.981,0.9783,0.956,0.1441,0.8831,1.0289,0.9626,0.9863,15,0.9444,0.979
XGBoost,0.9576,0.0676,0.9234,0.9918,0.9333,0.9631,0.956,0.0691,0.9211,0.991,0.9309,0.9579,15,1.0,0.8681
LogisticRegression,0.9685,0.0689,0.9336,1.0033,0.9619,0.9652,0.9429,0.1486,0.8677,1.0181,0.942,0.9742,15,0.9444,0.9398
