,precision,recall,f1-score,support
Early (benign/pre-launch/pre-encryption),0.95,0.95,0.95,20.0
Late (encrypting/post-encryption),0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
accuracy,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636
macro avg,0.9607142857142856,0.9607142857142856,0.9607142857142856,55.0
weighted avg,0.9636363636363636,0.9636363636363636,0.9636363636363636,55.0
