model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
GradientBoosting,212,54,0.9259,0.9333,0.9284,0.9265,1.0,0.0741,0.8519,0.9815,0.8477,0.9859,95,1000,0.9894,0.558,0.9815,0.9815,1.0
RandomForest,212,54,0.9259,0.9333,0.9272,0.9256,0.9811,0.0552,0.8519,0.9815,0.8424,0.9863,95,1000,0.8067,0.5019,0.3889,0.6852,1.0
XGBoost,212,54,0.9259,0.9208,0.9191,0.9246,1.0,0.0741,0.8519,0.9815,0.8273,0.9857,95,1000,0.8498,0.4577,0.463,0.8889,0.9815
ExtraTrees,212,54,0.8704,0.8875,0.877,0.8689,0.9811,0.1107,0.7778,0.963,0.7719,0.9612,95,1000,0.7622,0.3209,0.4259,0.5556,0.963
LogisticRegression,212,54,0.8519,0.8833,0.864,0.8495,0.9906,0.1387,0.7407,0.9444,0.7655,0.9398,95,1000,0.8054,0.3223,0.5926,0.6481,0.8519
