model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_ransom_folds,benign_specificity,benign_fpr,Benign,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.645,0.1112,0.5361,0.754,0.6435,0.5978,0.5478,0.1741,0.3772,0.7184,0.5455,0.6324,4,0.0,1.0,0.0,0.6707,0.3121,0.5208,0.6876
ExtraTrees,0.6276,0.106,0.5237,0.7314,0.625,0.598,0.5175,0.1509,0.3696,0.6653,0.5155,0.6268,4,0.0,1.0,0.0,0.6228,0.3,0.531,0.6161
GradientBoosting,0.5845,0.1724,0.4155,0.7535,0.5833,0.5544,0.5168,0.201,0.3199,0.7138,0.515,0.577,4,0.0,1.0,0.0,0.6154,0.2249,0.5521,0.675
RandomForest,0.6093,0.155,0.4575,0.7612,0.6065,0.5868,0.5115,0.1557,0.3589,0.6641,0.5096,0.5946,4,0.0,1.0,0.0,0.6173,0.3383,0.4243,0.6662
LogisticRegression,0.5076,0.1878,0.3235,0.6916,0.5046,0.515,0.4347,0.1587,0.2792,0.5902,0.4323,0.5234,4,0.0,1.0,0.0,0.5653,0.2521,0.5697,0.3516
