model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
XGBoost,0.9542,0.0887,0.9225,0.986,0.9436,0.9458,0.9409,0.1165,0.8992,0.9826,0.9271,0.9525,30,1.0,0.9245,0.7353,0.9857,1.0
RandomForest,0.9515,0.1087,0.9126,0.9904,0.9399,0.941,0.9373,0.1366,0.8885,0.9862,0.9223,0.9483,30,1.0,0.9467,0.6917,0.9857,1.0
ExtraTrees,0.9391,0.1154,0.8978,0.9804,0.9248,0.9319,0.9305,0.1354,0.882,0.979,0.9144,0.935,30,1.0,0.9073,0.7043,0.9714,1.0
LogisticRegression,0.9319,0.1016,0.8955,0.9683,0.9173,0.938,0.9225,0.1242,0.8781,0.967,0.9058,0.929,30,1.0,0.8704,0.7627,0.9192,0.9829
GradientBoosting,0.9439,0.0901,0.9117,0.9762,0.9399,0.9332,0.9088,0.1623,0.8507,0.9668,0.9123,0.9504,30,0.8889,0.9245,0.7503,1.0,1.0
