model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
RandomForest,84,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.9716,0.5643,0.9524,0.9524,1.0
ExtraTrees,84,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.9848,0.7889,0.9524,1.0,1.0
GradientBoosting,84,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,1.0,1.0,1.0,1.0,1.0
LogisticRegression,84,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.9693,0.7828,0.9524,1.0,1.0
XGBoost,84,21,0.9524,0.9286,0.9443,0.9514,1.0,0.0476,0.8571,1.0,0.8151,1.0,95,1000,0.7965,0.5696,0.2857,0.7619,1.0
