model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Dharma_macro_f1
LogisticRegression,0.9515,0.1023,0.8997,1.0033,0.9238,0.9458,0.9408,0.1329,0.8736,1.008,0.907,0.9518,15,1.0,0.8224
GradientBoosting,0.9333,0.1261,0.8695,0.9971,0.8952,0.925,0.9168,0.1682,0.8317,1.0019,0.8693,0.9302,15,1.0,0.7504
ExtraTrees,0.9152,0.1554,0.8365,0.9938,0.8667,0.9069,0.8911,0.1939,0.793,0.9892,0.8288,0.9092,15,1.0,0.6732
RandomForest,0.903,0.1628,0.8206,0.9855,0.8476,0.8847,0.8726,0.2173,0.7626,0.9825,0.7998,0.8913,15,1.0,0.6178
XGBoost,0.903,0.1664,0.8188,0.9873,0.8476,0.8861,0.8667,0.2319,0.7494,0.9841,0.7906,0.9027,15,1.0,0.6002
