,precision,recall,f1-score,support
Early (benign/pre-launch/pre-encryption),0.8947368421052632,0.85,0.8717948717948718,20.0
Late (encrypting/post-encryption),0.9166666666666666,0.9428571428571428,0.9295774647887324,35.0
accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
macro avg,0.9057017543859649,0.8964285714285714,0.9006861682918021,55.0
weighted avg,0.9086921850079743,0.9090909090909091,0.9085656127909649,55.0
