,precision,recall,f1-score,support
Pre-enc Active,0.0,0.0,0.0,20.0
Active Encryption,0.26666666666666666,0.4444444444444444,0.3333333333333333,9.0
Post-Encryption,0.6944444444444444,0.9615384615384616,0.8064516129032258,26.0
accuracy,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.5272727272727272
macro avg,0.32037037037037036,0.4686609686609686,0.37992831541218636,55.0
weighted avg,0.37191919191919187,0.5272727272727272,0.4357771260997067,55.0
