model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.5845,0.1259,0.4611,0.7079,0.5833,0.4975,0.4567,0.0658,0.3922,0.5212,0.4562,0.5904,4,0.98,0.4833,0.3786,0.5317,0.4332
RandomForest,0.5852,0.1376,0.4504,0.7201,0.5834,0.4784,0.4091,0.1433,0.2687,0.5495,0.4073,0.5835,4,1.0,0.5059,0.2184,0.5317,0.3805
GradientBoosting,0.5663,0.1443,0.4249,0.7078,0.5648,0.4086,0.394,0.1445,0.2524,0.5356,0.393,0.582,4,0.9,0.4459,0.1944,0.5357,0.4
ExtraTrees,0.5369,0.1488,0.3911,0.6827,0.537,0.4128,0.3683,0.1405,0.2306,0.506,0.3686,0.5525,4,1.0,0.3522,0.199,0.5421,0.3799
LogisticRegression,0.4712,0.0557,0.4165,0.5258,0.4722,0.3949,0.3649,0.0694,0.2969,0.4329,0.3647,0.5108,4,1.0,0.3767,0.2672,0.4309,0.3848
