model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
XGBoost,212,54,0.9259,0.8968,0.8885,0.9258,0.9953,0.0694,0.8519,0.9815,0.7676,0.9825,95,1000,0.9195,0.4612,0.7778,0.9074,0.9815
LogisticRegression,212,54,0.8889,0.91,0.8674,0.8923,0.9764,0.0875,0.7963,0.963,0.7534,0.9568,95,1000,0.8524,0.4141,0.5185,0.8148,0.963
RandomForest,212,54,0.8889,0.9029,0.8552,0.8932,0.967,0.0781,0.8148,0.963,0.7343,0.9508,95,1000,0.8986,0.4922,0.6111,0.9074,0.963
GradientBoosting,212,54,0.8704,0.8623,0.8465,0.8727,1.0,0.1296,0.7778,0.963,0.7228,0.9462,95,1000,0.9817,0.56,0.9444,0.963,1.0
ExtraTrees,212,54,0.8704,0.8914,0.8411,0.8752,0.934,0.0636,0.7778,0.9444,0.7157,0.9388,95,1000,0.8877,0.5251,0.5556,0.9074,1.0
