model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9719,0.0476,0.9548,0.9889,0.9719,0.9331,0.9139,0.164,0.8552,0.9726,0.9119,0.9735,30,0.9444,0.8885,0.7568,0.9495,1.0
LogisticRegression,0.9389,0.0595,0.9176,0.9602,0.9309,0.8956,0.8598,0.1771,0.7965,0.9232,0.8473,0.9423,30,0.8918,0.8099,0.7568,0.8974,0.9112
ExtraTrees,0.9138,0.0746,0.8871,0.9405,0.9156,0.8316,0.7623,0.2405,0.6762,0.8483,0.7767,0.9135,30,0.7281,0.4645,0.86,0.8432,0.9498
RandomForest,0.8817,0.0949,0.8477,0.9156,0.8849,0.8016,0.7225,0.2343,0.6387,0.8064,0.7384,0.8859,30,0.6656,0.4645,0.86,0.8432,0.8364
