,precision,recall,f1-score,support
Early (benign/pre-launch/pre-encryption),1.0,1.0,1.0,45.0
Late (encrypting/post-encryption),1.0,1.0,1.0,35.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,80.0
weighted avg,1.0,1.0,1.0,80.0
