model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
RandomForest,0.7668,0.1378,0.6318,0.9018,0.769,0.6584,0.6479,0.1898,0.4619,0.8339,0.6514,0.7791,4,1.0,0.3719,0.68,0.7937,0.746
ExtraTrees,0.6855,0.262,0.4287,0.9423,0.6899,0.6,0.6255,0.2548,0.3758,0.8752,0.6302,0.7078,4,1.0,0.2549,0.8268,0.6742,0.746
GradientBoosting,0.6209,0.1434,0.4804,0.7614,0.6234,0.5815,0.5477,0.1923,0.3593,0.7362,0.5505,0.6674,4,0.7867,0.3301,0.4531,0.7579,0.6498
LogisticRegression,0.5469,0.1983,0.3526,0.7412,0.5506,0.5343,0.4898,0.2062,0.2878,0.6919,0.4935,0.5948,4,1.0,0.2,0.4846,0.6374,0.6374
