model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
GradientBoosting,120,30,0.9667,0.9722,0.9657,0.9669,1.0,0.0333,0.9,1.0,0.8845,1.0,95,1000,0.9889,0.6877,0.9667,0.9667,1.0
RandomForest,120,30,0.9,0.9028,0.8971,0.9006,0.9667,0.0667,0.7992,1.0,0.7619,1.0,95,1000,0.8873,0.5115,0.6667,0.8,1.0
ExtraTrees,120,30,0.8667,0.8472,0.8565,0.8641,0.975,0.1083,0.7333,0.9667,0.697,0.9663,95,1000,0.8721,0.5,0.6667,0.7667,1.0
LogisticRegression,120,30,0.8333,0.8056,0.8168,0.8278,0.9917,0.1584,0.7,0.9667,0.6534,0.9556,95,1000,0.8949,0.5493,0.7,0.8333,1.0
