model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
ExtraTrees,0.5783,0.3197,0.2165,0.94,0.5867,0.403,0.4063,0.1572,0.2284,0.5841,0.4097,0.5958,3,1.0,0.2258,0.48,0.513
RandomForest,0.5926,0.2771,0.2791,0.9062,0.6,0.3899,0.3595,0.1097,0.2353,0.4836,0.3624,0.5687,3,0.9067,0.25,0.4694,0.359
LogisticRegression,0.4335,0.2469,0.1542,0.7128,0.44,0.4643,0.3241,0.1573,0.1461,0.502,0.3283,0.4214,3,1.0,0.1667,0.4812,0.3243
GradientBoosting,0.4314,0.3232,0.0656,0.7972,0.44,0.2817,0.2772,0.162,0.0939,0.4605,0.2815,0.439,3,1.0,0.1111,0.4348,0.2857
