model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9146,0.1325,0.8627,0.9666,0.9267,0.887,0.8175,0.261,0.7152,0.9198,0.835,0.9189,25,0.9444,0.7714,0.5557,0.8714
LogisticRegression,0.8606,0.1684,0.7946,0.9266,0.88,0.82,0.7579,0.2722,0.6512,0.8647,0.7883,0.8571,25,1.0,0.6007,0.5557,0.6333
ExtraTrees,0.8741,0.1675,0.8085,0.9398,0.8867,0.8,0.754,0.2919,0.6396,0.8684,0.7799,0.8369,25,1.0,0.546,0.7791,0.4448
RandomForest,0.8408,0.196,0.764,0.9177,0.8667,0.77,0.7102,0.3102,0.5886,0.8317,0.7547,0.8072,25,1.0,0.426,0.7791,0.3457
