TreeDepth,Offset,Name
0,0xbe884d1cfab0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0xbe884d1cfc20,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xbe884d1cfd90,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xbe884d1d0070,TxfLog
0,0xbe884d1d0630,\\Device\\HarddiskVolume3\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xbe884d1d07a0,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0xbe884d1d0a80,\\$Extend\\$UsnJrnl:$J:$DATA
0,0xbe884d1d0bf0,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0xbe884d1d50b0,\\$Directory
0,0xbe884d1d5670,\\$Directory
0,0xbe884d1d5c30,\\Windows\\System32\\drivers\\Dumpstorport.sys
0,0xbe884d1d5da0,\\Windows\\System32\\drivers\\stornvme.sys
0,0xbe884d1d6080,\\Windows\\System32\\drivers\\dumpfve.sys
0,0xbe884d1d61f0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0xbe884d1d6360,\\Device\\HarddiskVolume3\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xbe884d1d67b0,\\Windows\\System32\\ntdll.dll
0,0xbe884d1d6920,\\$Directory
0,0xbe884d1d6c00,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0xbe884d1d6ee0,\\$Directory
0,0xbe884d1d71c0,KtmLog
0,0xbe884d1d7330,\\Device\\HarddiskVolume3\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xbe884d1d74a0,\\ProgramData\\Microsoft\\MF\\Active.GRL
0,0xbe884d1d7610,\\$Directory
0,0xbe884d1d7a60,\\Windows\\System32\\drivers\\crashdmp.sys
0,0xbe884d1d7bd0,\\$Extend\\$Reparse:$R:$INDEX_ALLOCATION
0,0xbe884d1d7d40,\\:$I30:$INDEX_ALLOCATION
0,0xbe884d1d7eb0,\\$Directory
0,0xbe884d1d8300,\\Windows\\SysWOW64\\ntdll.dll
0,0xbe884d1d8750,\\Windows\\System32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package0110~31bf3856ad364e35~amd64~~10.0.19041.610.cat
0,0xbe884d1d8ba0,\\$Directory
0,0xbe884d1d8d10,\\Windows\\System32\\vertdll.dll
0,0xbe884d1d8e80,\\Windows\\System32\\drivers\\cdrom.sys
0,0xbe884d7c1210,\\$Secure:$SDS:$DATA
0,0xbe884d7c1380,\\:$I30:$INDEX_ALLOCATION
0,0xbe884d7c1660,\\$Secure:$SII:$INDEX_ALLOCATION
0,0xbe884d7c17d0,\\$BitMap
0,0xbe884d7c1c20,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xbe884d7c2070,\\$LogFile
0,0xbe884d7c2350,\\$Extend\\$RmMetadata\\$Repair
0,0xbe884d7c24c0,\\$MftMirr
0,0xbe884d7c2910,\\$Mft
0,0xbe884d7c2a80,\\$Mft::$BITMAP
0,0xbe884d7c2d60,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0xbe884d8db0b0,\\Windows\\System32\\drivers\\filecrypt.sys
0,0xbe884d8db220,\\Windows\\System32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package0416~31bf3856ad364e35~amd64~~10.0.19041.631.cat
0,0xbe884d8db390,\\Windows\\System32\\drivers\\null.sys
0,0xbe884d8db500,\\Windows\\System32\\drivers\\beep.sys
0,0xbe884d8db950,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0xbe884d8dbac0,\\Windows\\System32\\drivers\\filecrypt.sys
0,0xbe884d8dc080,\\Windows\\System32\\drivers\\cdrom.sys
0,0xbe884d8dc360,\\Windows\\System32\\drivers\\watchdog.sys
0,0xbe884d8dc640,\\Windows\\System32\\drivers\\watchdog.sys
0,0xbe884d8dc7b0,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_62ba5773ba05edee\\BasicDisplay.sys
0,0xbe884d8dcc00,\\Windows\\System32\\drivers\\beep.sys
0,0xbe884d8dcee0,\\Windows\\System32\\drivers\\vmrawdsk.sys
0,0xbe884d8dd1c0,\\$Directory
0,0xbe884d8dd330,\\Windows\\System32\\drivers\\tbs.sys
0,0xbe884d8dd780,\\Windows\\System32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package0419~31bf3856ad364e35~amd64~~10.0.19041.631.cat
0,0xbe884d8dd8f0,\\Windows\\System32\\drivers\\null.sys
0,0xbe884d8ddbd0,\\ProgramData\\VMware\\RawdskCompatibility\\vmrawdsk.log
0,0xbe884d8ddd40,\\Windows\\System32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package01~31bf3856ad364e35~amd64~~10.0.19041.630.cat
0,0xbe884d8ddeb0,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_49a8589f00d970d9\\BasicRender.sys
0,0xbe884d8de190,\\Windows\\System32\\drivers\\npfs.sys
0,0xbe884d8de470,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_49a8589f00d970d9\\BasicRender.sys
0,0xbe884d8de8c0,\\Windows\\System32\\drivers\\msfs.sys
0,0xbe884d8dea30,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xbe884d8deba0,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_62ba5773ba05edee\\BasicDisplay.sys
0,0xbe884d8ded10,\\$Directory
0,0xbe884d8eb250,\\Windows
0,0xbe884d8eb890,\\Windows\\PFRO.log
