model,mean_accuracy,std,n_instances,Benign_mean,Cerber_mean,Dharma_mean,Jigsaw_mean,WannaCry_mean
RandomForest,0.9848,0.0538,30,1.0,1.0,0.9091,1.0,1.0
ExtraTrees,0.9818,0.0501,30,1.0,1.0,0.8909,1.0,1.0
GradientBoosting,0.9732,0.0612,30,1.0,0.93,0.9091,1.0,1.0
KNN,0.9691,0.0569,30,0.98,0.9455,0.9091,1.0,1.0
XGBoost,0.9683,0.0782,30,1.0,0.955,0.8545,1.0,1.0
LogisticRegression,0.9658,0.0627,30,0.98,0.9073,0.9455,0.9818,1.0
SVM,0.9434,0.0639,30,0.98,0.9005,0.8909,0.9091,1.0
