model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.5186,0.2131,0.2775,0.7598,0.5212,0.3768,0.3362,0.0768,0.2493,0.423,0.3377,0.5475,3,,0.2484,0.3908,0.3693
ExtraTrees,0.4204,0.258,0.1285,0.7123,0.4237,0.3907,0.3062,0.1954,0.0851,0.5273,0.3086,0.4518,3,,0.1621,0.5286,0.2279
LogisticRegression,0.4436,0.0861,0.3462,0.541,0.4449,0.4058,0.3054,0.0516,0.247,0.3638,0.3062,0.4718,3,1.0,0.2571,0.2993,0.3598
GradientBoosting,0.3226,0.0521,0.2636,0.3816,0.322,0.2769,0.2449,0.0648,0.1717,0.3182,0.2448,0.383,3,1.0,0.2538,0.1762,0.3048
