model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
ExtraTrees,0.9758,0.0713,0.9502,1.0013,0.9699,0.9756,0.974,0.0769,0.9465,1.0015,0.9678,0.9758,30,1.0,0.9436,0.9005,1.0,1.0
RandomForest,0.9686,0.0742,0.942,0.9951,0.9624,0.9704,0.9642,0.0904,0.9319,0.9966,0.9572,0.9678,30,1.0,0.9145,0.8707,1.0,1.0
GradientBoosting,0.9694,0.0841,0.9393,0.9995,0.9624,0.9623,0.9632,0.1027,0.9264,0.9999,0.9548,0.9675,30,1.0,0.9733,0.8057,1.0,1.0
LogisticRegression,0.9658,0.0627,0.9433,0.9882,0.9624,0.9634,0.9503,0.1143,0.9094,0.9912,0.9514,0.9681,30,0.9444,0.8965,0.9354,0.9812,1.0
XGBoost,0.9583,0.0959,0.924,0.9926,0.9511,0.9502,0.95,0.1179,0.9078,0.9922,0.9417,0.9567,30,1.0,0.9333,0.7664,1.0,1.0
