model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.857,0.0548,0.8032,0.9107,0.8565,0.8796,0.8526,0.0543,0.7994,0.9059,0.8523,0.8597,4,0.84,0.8742,0.7782,0.906,0.8522
GradientBoosting,0.8692,0.0736,0.797,0.9413,0.8704,0.8554,0.8522,0.0891,0.7649,0.9396,0.8537,0.8667,4,0.8,0.7723,0.7872,0.9615,0.8879
RandomForest,0.8506,0.1158,0.7371,0.9641,0.8519,0.8708,0.8463,0.1175,0.7311,0.9615,0.8477,0.8529,4,0.88,0.7717,0.7269,0.9806,0.906
ExtraTrees,0.8021,0.0671,0.7363,0.8678,0.8009,0.8276,0.7973,0.0658,0.7328,0.8618,0.7963,0.8055,4,0.9,0.8516,0.7043,0.7989,0.8344
LogisticRegression,0.7793,0.1191,0.6626,0.896,0.7778,0.8124,0.7742,0.1173,0.6592,0.8892,0.7728,0.7786,4,0.54,0.8516,0.724,0.8879,0.6333
