model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
GradientBoosting,0.6522,0.3494,0.3098,0.9945,0.6519,0.5401,0.4549,0.2502,0.2098,0.7001,0.4552,0.6232,4,0.64,0.437,0.4937,0.1398,0.7492
LogisticRegression,0.5036,0.3336,0.1767,0.8306,0.5063,0.4513,0.4411,0.3145,0.1329,0.7493,0.4437,0.5465,4,1.0,0.2366,0.8968,0.2267,0.4043
RandomForest,0.6447,0.2336,0.4158,0.8736,0.6456,0.3972,0.3877,0.0754,0.3138,0.4616,0.388,0.6445,4,0.92,0.3667,0.4937,0.3155,0.375
ExtraTrees,0.5636,0.2818,0.2875,0.8398,0.5665,0.3517,0.3699,0.098,0.2738,0.466,0.3713,0.5992,4,1.0,0.2549,0.4937,0.3543,0.3766
XGBoost,0.5719,0.3373,0.2413,0.9025,0.5728,0.4513,0.3481,0.1536,0.1975,0.4987,0.3483,0.5278,4,0.9733,0.3333,0.4937,0.1398,0.4256
