model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
GradientBoosting,0.9242,0.1231,0.7849,1.0635,0.9261,0.9383,0.9226,0.1233,0.7831,1.0621,0.9244,0.9256,3,0.0,0.7804,0.9874,1.0
XGBoost,0.8219,0.3003,0.4821,1.1617,0.8264,0.86,0.8122,0.3145,0.4563,1.168,0.8168,0.8009,3,0.0,0.4491,0.9874,1.0
RandomForest,0.7736,0.1552,0.598,0.9493,0.7749,0.7799,0.7624,0.154,0.5881,0.9367,0.7637,0.7725,3,0.6,0.6625,0.9398,0.6849
LogisticRegression,0.669,0.2299,0.4089,0.9291,0.672,0.7115,0.653,0.2273,0.3959,0.9102,0.656,0.6511,3,0.75,0.4211,0.8753,0.6627
ExtraTrees,0.6518,0.3136,0.2969,1.0066,0.6559,0.698,0.6302,0.3353,0.2508,1.0097,0.6348,0.6148,3,0.75,0.2749,0.9411,0.6747
