model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
RandomForest,328,83,1.0,1.0,1.0,1.0,0.997,-0.003,1.0,1.0,1.0,1.0,95,1000,0.9933,0.6872,0.9759,0.988,1.0
GradientBoosting,328,83,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.996,0.6666,0.988,0.988,1.0
XGBoost,328,83,1.0,1.0,1.0,1.0,0.997,-0.003,1.0,1.0,1.0,1.0,95,1000,0.9641,0.9315,1.0,1.0,1.0
ExtraTrees,328,83,0.9759,0.9758,0.9758,0.9759,0.9939,0.018,0.9398,1.0,0.9389,1.0,95,1000,0.9724,0.5529,0.9157,0.9639,1.0
LogisticRegression,328,83,0.9759,0.9758,0.9758,0.9759,0.997,0.0211,0.9398,1.0,0.9394,1.0,95,1000,0.9448,0.5254,0.8434,0.9277,1.0
