model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,Benign,Cerber,Dharma,Jigsaw,WannaCry
ExtraTrees,0.7214,0.2024,0.544,0.8988,0.7256,0.627,0.46,0.0405,0.4245,0.4955,0.4612,0.7017,5,0.3902,0.4671,0.4954,0.4762,0.4712
RandomForest,0.6921,0.182,0.5326,0.8516,0.6955,0.6012,0.4499,0.0389,0.4158,0.484,0.451,0.6834,5,0.3902,0.4536,0.4907,0.4762,0.4388
LogisticRegression,0.6893,0.1493,0.5584,0.8201,0.6917,0.6077,0.4494,0.038,0.416,0.4827,0.4498,0.6824,5,0.3902,0.4941,0.45,0.4466,0.466
GradientBoosting,0.649,0.0947,0.566,0.732,0.6504,0.5582,0.4358,0.0331,0.4068,0.4648,0.4363,0.6612,5,0.3902,0.4585,0.4271,0.4762,0.4271
XGBoost,0.619,0.2029,0.4412,0.7968,0.6203,0.477,0.3976,0.0626,0.3427,0.4524,0.3981,0.6216,5,0.3902,0.3704,0.4907,0.4156,0.321
