model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
RandomForest,0.9703,0.0699,0.9453,0.9953,0.9812,0.9628,0.9415,0.1478,0.8886,0.9944,0.9552,0.9731,30,0.8768,1.0,0.8952,1.0,1.0
ExtraTrees,0.9703,0.0699,0.9453,0.9953,0.9812,0.9628,0.9415,0.1478,0.8886,0.9944,0.9552,0.9731,30,0.8768,1.0,0.8952,1.0,1.0
XGBoost,0.9515,0.096,0.9172,0.9859,0.9624,0.9334,0.8945,0.1949,0.8247,0.9642,0.9009,0.9547,30,0.859,0.8952,0.8952,0.9633,0.8952
LogisticRegression,0.9655,0.0639,0.9426,0.9883,0.9662,0.9445,0.8879,0.2021,0.8156,0.9602,0.8708,0.9687,30,0.9562,0.8341,0.7905,1.0,0.7905
GradientBoosting,0.9449,0.0796,0.9164,0.9734,0.9511,0.9145,0.8579,0.2147,0.7811,0.9347,0.8575,0.949,30,0.8768,0.7447,0.6857,0.9633,1.0
