model,mean_accuracy,std,n_instances,Benign_mean,Cerber_mean,Dharma_mean,Jigsaw_mean,WannaCry_mean
RandomForest,0.9673,0.0706,30,0.92,0.9818,0.9818,1.0,1.0
ExtraTrees,0.9642,0.0711,30,0.92,0.9818,0.9818,1.0,0.9818
LogisticRegression,0.9588,0.0703,30,0.94,0.9455,0.9636,1.0,0.9636
XGBoost,0.9582,0.0755,30,0.92,0.9818,0.9818,0.9636,0.9818
SVM,0.9455,0.0821,30,0.94,0.8659,0.9636,1.0,0.9636
GradientBoosting,0.9449,0.0796,30,0.92,0.9205,0.9455,0.9636,1.0
KNN,0.924,0.0965,30,0.94,0.8095,0.9455,0.9455,0.9636
