model,mean_accuracy,Benign,Cerber,Dharma,Jigsaw,WannaCry
SVM,0.729,0.64,0.5686,0.9818,0.5455,0.9091
ExtraTrees,0.7212,0.64,0.5294,0.9818,0.5455,0.9091
KNN,0.7115,0.68,0.5686,0.8727,0.5455,0.8909
RandomForest,0.703,0.64,0.5294,0.9818,0.5455,0.8182
LogisticRegression,0.6966,0.64,0.5882,0.8545,0.5273,0.8727
GradientBoosting,0.6529,0.64,0.5882,0.7455,0.5455,0.7455
XGBoost,0.6151,0.64,0.4902,0.9636,0.5091,0.4727
