model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
RandomForest,0.8752,0.0928,0.7842,0.9661,0.875,0.8966,0.8716,0.092,0.7815,0.9617,0.8716,0.877,4,0.92,0.8742,0.7447,0.9615,0.906
XGBoost,0.8702,0.0828,0.789,0.9514,0.8703,0.8838,0.8649,0.0844,0.7822,0.9476,0.8651,0.8725,4,0.88,0.8516,0.7585,0.9615,0.8879
GradientBoosting,0.8619,0.0623,0.8009,0.9229,0.8611,0.8592,0.8496,0.0698,0.7813,0.918,0.8488,0.8612,4,0.74,0.894,0.7872,0.7932,0.9242
LogisticRegression,0.7838,0.109,0.6771,0.8906,0.7824,0.816,0.7795,0.1062,0.6754,0.8836,0.7782,0.7847,4,0.6,0.8516,0.7067,0.8879,0.6718
ExtraTrees,0.781,0.1078,0.6754,0.8866,0.7824,0.7647,0.7312,0.1729,0.5618,0.9007,0.7353,0.7612,4,0.9,0.5149,0.67,0.8879,0.8522
