model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
ExtraTrees,212,54,0.9815,0.9808,0.9814,0.9815,1.0,0.0185,0.9444,1.0,0.942,1.0,95,1000,0.8669,0.5357,0.5556,0.8704,1.0
LogisticRegression,212,54,0.963,0.9643,0.963,0.963,0.9858,0.0228,0.9074,1.0,0.9034,1.0,95,1000,0.8963,0.5067,0.6852,0.8519,1.0
RandomForest,212,54,0.963,0.9615,0.9628,0.9629,1.0,0.037,0.9074,1.0,0.9071,1.0,95,1000,0.8535,0.5444,0.4259,0.8519,1.0
XGBoost,212,54,0.9444,0.9437,0.9443,0.9444,1.0,0.0556,0.8884,1.0,0.8749,1.0,95,1000,0.9665,0.7415,0.9444,1.0,1.0
GradientBoosting,212,54,0.9074,0.908,0.9074,0.9074,1.0,0.0926,0.8333,0.9815,0.8231,0.9813,95,1000,1.0,1.0,1.0,1.0,1.0
