model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
ExtraTrees,0.9848,0.0482,0.9676,1.0021,0.9812,0.9792,0.9812,0.0603,0.9596,1.0028,0.9767,0.9835,30,1.0,1.0,0.8874,1.0,1.0
GradientBoosting,0.9743,0.0498,0.9565,0.9921,0.9699,0.972,0.9709,0.0562,0.9508,0.991,0.966,0.9742,30,1.0,0.9442,0.9188,0.9812,0.9812
RandomForest,0.9788,0.0743,0.9522,1.0054,0.9737,0.9708,0.9685,0.1185,0.9261,1.0109,0.9609,0.9733,30,1.0,1.0,0.811,1.0,1.0
XGBoost,0.9743,0.073,0.9482,1.0004,0.9699,0.9647,0.9668,0.0941,0.9332,1.0005,0.9616,0.9722,30,1.0,0.9323,0.8686,1.0,1.0
LogisticRegression,0.9658,0.0627,0.9433,0.9882,0.9624,0.9634,0.9503,0.1143,0.9094,0.9912,0.9514,0.9681,30,0.9444,0.8965,0.9354,0.9812,1.0
