model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
ExtraTrees,0.6939,0.2081,0.49,0.8979,0.6962,0.5483,0.5598,0.168,0.3951,0.7244,0.5625,0.7104,4,1.0,0.3391,0.7436,0.6057,0.5506
RandomForest,0.6518,0.0331,0.6193,0.6843,0.6519,0.4738,0.4928,0.1346,0.3609,0.6248,0.4941,0.6893,4,1.0,0.392,0.3846,0.5245,0.6703
GradientBoosting,0.5553,0.1089,0.4486,0.662,0.557,0.4818,0.4542,0.1552,0.3021,0.6063,0.4562,0.6155,4,0.8,0.2963,0.3848,0.4764,0.6593
LogisticRegression,0.5255,0.2092,0.3205,0.7305,0.5285,0.4544,0.4255,0.157,0.2716,0.5794,0.4281,0.5803,4,1.0,0.2245,0.4857,0.3959,0.596
