model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_ransom_folds,benign_specificity,benign_fpr,Benign,Cerber,Dharma,Jigsaw,WannaCry
ExtraTrees,0.708,0.1217,0.5886,0.8273,0.7084,0.6297,0.4823,0.0568,0.4267,0.5379,0.4808,0.7424,4,0.0,1.0,0.0,0.5641,0.45,0.4762,0.4388
LogisticRegression,0.7065,0.1653,0.5445,0.8685,0.7083,0.6374,0.4676,0.0281,0.4401,0.4951,0.4668,0.7323,4,0.0,1.0,0.0,0.5077,0.45,0.4466,0.466
RandomForest,0.6278,0.1549,0.476,0.7796,0.6296,0.6856,0.4588,0.0762,0.3841,0.5335,0.4589,0.6754,4,0.0,1.0,0.0,0.4536,0.56,0.4466,0.375
XGBoost,0.6233,0.2171,0.4105,0.836,0.625,0.6043,0.442,0.1631,0.2821,0.6018,0.4431,0.6536,4,0.0,1.0,0.0,0.3806,0.6857,0.3487,0.3529
GradientBoosting,0.6282,0.2129,0.4195,0.8368,0.6296,0.4608,0.4041,0.0743,0.3312,0.4769,0.405,0.6699,4,0.0,1.0,0.0,0.3544,0.486,0.4466,0.3293
