model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
ExtraTrees,212,54,0.9444,0.9651,0.9219,0.9468,0.9858,0.0414,0.8889,1.0,0.8178,1.0,95,1000,0.978,0.8254,0.9074,1.0,1.0
GradientBoosting,212,54,0.9444,0.9651,0.9219,0.9468,1.0,0.0556,0.8704,1.0,0.8159,1.0,95,1000,0.9859,0.7756,0.9444,1.0,1.0
LogisticRegression,212,54,0.9259,0.9535,0.8987,0.9298,1.0,0.0741,0.8519,0.9819,0.7814,0.9804,95,1000,0.9398,0.5111,0.8519,0.9259,1.0
RandomForest,212,54,0.8889,0.8288,0.8288,0.8889,0.9858,0.0969,0.7963,0.963,0.6858,0.943,95,1000,0.9199,0.5408,0.7963,0.8148,1.0
XGBoost,212,54,0.8889,0.8288,0.8288,0.8889,0.9764,0.0875,0.7963,0.963,0.6858,0.943,95,1000,0.8685,0.5151,0.5926,0.8519,1.0
