model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9515,0.096,0.9172,0.9859,0.9624,0.9336,0.9089,0.1782,0.8452,0.9727,0.9188,0.9532,30,0.859,0.8952,0.8952,0.9452,1.0
ExtraTrees,0.9461,0.0857,0.9154,0.9767,0.9511,0.9264,0.888,0.1885,0.8206,0.9555,0.8889,0.9483,30,0.8768,0.8952,0.8952,0.8887,0.8952
LogisticRegression,0.9655,0.0639,0.9426,0.9883,0.9662,0.9445,0.8879,0.2021,0.8156,0.9602,0.8708,0.9687,30,0.9562,0.8341,0.7905,1.0,0.7905
XGBoost,0.9446,0.0761,0.9174,0.9719,0.9511,0.8981,0.8302,0.2322,0.7471,0.9133,0.8251,0.9467,30,0.8768,0.6833,0.8952,0.9633,0.6857
RandomForest,0.9242,0.085,0.8938,0.9547,0.9286,0.9207,0.7928,0.231,0.7101,0.8754,0.7761,0.9372,30,0.853,1.0,0.581,0.8887,0.581
