model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.6447,0.2527,0.3588,0.9307,0.6483,0.3918,0.3828,0.0902,0.2808,0.4848,0.3842,0.6428,3,1.0,0.3028,0.4805,0.3651
ExtraTrees,0.6,0.3631,0.1891,1.0109,0.6059,0.365,0.3529,0.1472,0.1863,0.5195,0.3555,0.5919,3,1.0,0.2,0.4937,0.3651
LogisticRegression,0.4667,0.1942,0.2469,0.6864,0.4703,0.3733,0.3195,0.1092,0.1959,0.443,0.3215,0.5114,3,1.0,0.2,0.4141,0.3443
GradientBoosting,0.455,0.1391,0.2977,0.6124,0.4576,0.2838,0.3084,0.0685,0.2309,0.3859,0.3097,0.5111,3,1.0,0.2323,0.3651,0.3277
