,precision,recall,f1-score,support
Benign/Dormant,1.0,1.0,1.0,15.0
Pre-enc Active,0.0,0.0,0.0,13.0
Active Encryption,0.7586206896551724,1.0,0.8627450980392157,22.0
Post-Encryption,0.8333333333333334,1.0,0.9090909090909091,30.0
accuracy,0.8375,0.8375,0.8375,0.8375
macro avg,0.6479885057471264,0.75,0.6929590017825312,80.0
weighted avg,0.7086206896551724,0.8375,0.7656639928698753,80.0
