model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
GradientBoosting,312,79,0.9367,0.9131,0.92,0.9362,1.0,0.0633,0.8861,0.9873,0.838,0.9804,95,1000,0.9847,0.5015,0.9494,0.9747,1.0
RandomForest,312,79,0.9114,0.8739,0.8815,0.9114,0.9615,0.0501,0.8481,0.9747,0.7895,0.958,95,1000,0.8993,0.3863,0.7215,0.8608,0.9873
ExtraTrees,312,79,0.8987,0.8626,0.8711,0.8992,0.9679,0.0692,0.8354,0.962,0.7723,0.9502,95,1000,0.8975,0.5157,0.6329,0.8481,1.0
LogisticRegression,312,79,0.8608,0.849,0.8446,0.862,0.9615,0.1007,0.7848,0.9241,0.7505,0.9192,95,1000,0.8989,0.5285,0.6329,0.9367,1.0
