model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9344,0.0655,0.911,0.9578,0.9258,0.9009,0.8777,0.163,0.8194,0.936,0.8668,0.9369,30,0.9444,0.9111,0.7345,0.8206,0.9111
LogisticRegression,0.8966,0.0942,0.8629,0.9303,0.8798,0.8689,0.8309,0.1845,0.7648,0.8969,0.8092,0.9002,30,0.9444,0.7708,0.5773,0.8471,0.9011
ExtraTrees,0.8941,0.0869,0.863,0.9252,0.8849,0.858,0.8019,0.1919,0.7333,0.8706,0.8,0.8914,30,0.8362,0.7307,0.7192,0.7845,0.9047
RandomForest,0.894,0.0933,0.8606,0.9273,0.8849,0.8451,0.7809,0.2136,0.7045,0.8573,0.7748,0.8864,30,0.8362,0.5457,0.7946,0.8067,0.866
