model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
RandomForest,0.6602,0.1209,0.5417,0.7787,0.6614,0.5717,0.4794,0.167,0.3157,0.6431,0.4813,0.6586,4,1.0,0.3307,0.3637,0.693,0.5301
ExtraTrees,0.634,0.1232,0.5133,0.7548,0.6361,0.5339,0.4464,0.1263,0.3226,0.5701,0.4482,0.6305,4,1.0,0.2964,0.3908,0.5729,0.5253
GradientBoosting,0.5143,0.1048,0.4116,0.617,0.5158,0.5448,0.4202,0.1252,0.2975,0.5428,0.4221,0.5238,4,1.0,0.2698,0.3793,0.563,0.4685
LogisticRegression,0.5018,0.0763,0.427,0.5766,0.5032,0.4665,0.393,0.1176,0.2778,0.5083,0.3948,0.5035,4,1.0,0.2557,0.3571,0.4234,0.536
