,precision,recall,f1-score,support
Pre-enc Active,0.0,0.0,0.0,2.0
Active Encryption,1.0,0.5490196078431373,0.7088607594936709,51.0
Post-Encryption,0.6875,0.8148148148148148,0.7457627118644068,27.0
micro avg,0.6944444444444444,0.625,0.6578947368421053,80.0
macro avg,0.5625,0.4546114742193173,0.48487449045269254,80.0
weighted avg,0.86953125,0.625,0.7035936494314525,80.0
