label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,wtd_macro_f1,n_instances,benign_fpr,n_folds
stage_binary,Standard 80/20,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9919,0.9524,84.0,21.0,,,,
stage_binary,LOIO,LogisticRegression,0.9697,0.9283,1.0111,0.9655,0.966,0.9191,1.0128,0.969,,,,,,,0.9465,15.0,,
stage_binary,LOIO,GradientBoosting,0.9515,0.8892,1.0139,0.9476,0.9459,0.8749,1.0168,0.9503,,,,,,,0.9149,15.0,,
stage_binary,LOIO,ExtraTrees,0.9576,0.9155,0.9997,0.9417,0.9449,0.8875,1.0022,0.952,,,,,,,0.9134,15.0,,
stage_hint,LOIO,LogisticRegression,0.9515,0.8997,1.0033,0.9458,0.9408,0.8736,1.008,0.9518,,,,,,,0.907,15.0,,
stage_binary,LOIO,RandomForest,0.9515,0.9028,1.0003,0.9369,0.9392,0.8763,1.0021,0.9465,,,,,,,0.9044,15.0,,
stage_binary,LOIO,XGBoost,0.9333,0.8695,0.9971,0.9333,0.9295,0.8623,0.9968,0.9335,,,,,,,0.8893,15.0,,
stage_hint,LOIO,GradientBoosting,0.9333,0.8695,0.9971,0.925,0.9168,0.8317,1.0019,0.9302,,,,,,,0.8693,15.0,,
stage_hint,LOIO,ExtraTrees,0.9152,0.8365,0.9938,0.9069,0.8911,0.793,0.9892,0.9092,,,,,,,0.8288,15.0,,
stage_binary,Standard 80/20,ExtraTrees,0.9048,0.7619,1.0,0.8571,0.8833,0.6592,1.0,0.9,0.9881,0.0833,1.0,1.0,84.0,21.0,,,,
stage_binary,Standard 80/20,XGBoost,0.9048,0.7619,1.0,0.8571,0.8833,0.6592,1.0,0.9,0.9286,0.0238,0.8503,0.4286,84.0,21.0,,,,
stage_binary,Standard 80/20,RandomForest,0.9048,0.7619,1.0,0.8571,0.8833,0.6592,1.0,0.9,1.0,0.0952,0.9919,0.9524,84.0,21.0,,,,
stage_binary,Standard 80/20,LogisticRegression,0.9048,0.7619,1.0,0.8571,0.8833,0.6592,1.0,0.9,1.0,0.0952,0.9654,0.9524,84.0,21.0,,,,
