,precision,recall,f1-score,support
Benign (baseline),1.0,1.0,1.0,10.0
Pre-launch,1.0,1.0,1.0,2.0
Pre-encryption,1.0,1.0,1.0,2.0
Encrypting,1.0,1.0,1.0,4.0
Post-encryption,1.0,1.0,1.0,3.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,21.0
weighted avg,1.0,1.0,1.0,21.0
