model,mean_accuracy,Benign,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.7598,0.3,0.8627,0.8,0.9273,0.9091
LogisticRegression,0.7344,0.5,0.8627,0.7818,0.8909,0.6364
RandomForest,0.728,0.12,0.902,0.7273,1.0,0.8909
SVM,0.6866,0.44,0.902,0.6182,0.9091,0.5636
KNN,0.6521,0.36,0.8824,0.5091,0.9091,0.6
ExtraTrees,0.6441,0.12,0.8824,0.6727,0.8727,0.6727
GradientBoosting,0.6041,0.0,0.7843,0.5273,0.8909,0.8182
