model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
LogisticRegression,212,54,0.9815,0.9821,0.9815,0.9815,0.9858,0.0043,0.9444,1.0,0.941,1.0,95,1000,0.9103,0.5709,0.7963,0.8519,1.0
RandomForest,212,54,0.963,0.9615,0.9628,0.9629,0.9811,0.0181,0.9074,1.0,0.9048,1.0,95,1000,0.9371,0.5041,0.8148,0.9074,1.0
ExtraTrees,212,54,0.9444,0.9423,0.944,0.9442,0.9811,0.0367,0.8889,1.0,0.8781,1.0,95,1000,0.928,0.5158,0.8148,0.8889,1.0
XGBoost,212,54,0.9259,0.9245,0.9255,0.9257,0.9953,0.0694,0.8519,0.9815,0.8485,0.9815,95,1000,0.9036,0.5167,0.6481,0.9444,1.0
GradientBoosting,212,54,0.8333,0.8352,0.8333,0.8332,1.0,0.1667,0.7407,0.9259,0.7314,0.9259,95,1000,1.0,0.9991,1.0,1.0,1.0
