,precision,recall,f1-score,support
Early (benign/pre-launch/pre-encryption),0.9090909090909091,1.0,0.9523809523809523,20.0
Late (encrypting/post-encryption),1.0,0.9428571428571428,0.9705882352941176,35.0
accuracy,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636
macro avg,0.9545454545454546,0.9714285714285714,0.9614845938375349,55.0
weighted avg,0.9669421487603306,0.9636363636363636,0.9639674051438758,55.0
