model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
ExtraTrees,0.9758,0.053,0.9568,0.9947,0.9699,0.9738,0.9729,0.0606,0.9512,0.9946,0.9664,0.9752,30,1.0,0.9436,0.8939,1.0,1.0
RandomForest,0.9727,0.0592,0.9515,0.9939,0.9662,0.975,0.9714,0.0617,0.9494,0.9935,0.9646,0.973,30,1.0,0.9436,0.885,1.0,1.0
LogisticRegression,0.9724,0.0546,0.9529,0.992,0.9662,0.9683,0.9685,0.0634,0.9458,0.9912,0.9614,0.9716,30,1.0,0.8965,0.9332,0.9812,1.0
GradientBoosting,0.9724,0.0725,0.9465,0.9984,0.9662,0.9665,0.968,0.084,0.9379,0.998,0.9608,0.9714,30,1.0,0.9733,0.8345,1.0,1.0
XGBoost,0.9671,0.0824,0.9376,0.9966,0.9624,0.9595,0.9594,0.1047,0.9219,0.9969,0.9539,0.9656,30,1.0,0.9067,0.8498,1.0,1.0
