label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test
stage_binary,Standard 80/20,GradientBoosting,0.9873,0.9494,1.0,0.9815,0.9858,0.9469,1.0,0.9873,1.0,0.0127,0.9915,0.962,312,79
stage_binary,Standard 80/20,RandomForest,0.9494,0.8861,0.9873,0.9437,0.9437,0.8773,0.9866,0.9494,0.9776,0.0282,0.9342,0.8101,312,79
stage_binary,Standard 80/20,LogisticRegression,0.9494,0.8984,0.9873,0.9437,0.9437,0.8764,0.9866,0.9494,0.9744,0.025,0.8951,0.6709,312,79
stage_binary,Standard 80/20,XGBoost,0.9494,0.8987,0.9873,0.9348,0.9427,0.8803,0.9865,0.9489,0.9936,0.0442,0.9277,0.7342,312,79
behavior_stage,Standard 80/20,XGBoost,0.9494,0.8987,0.9873,0.9315,0.9287,0.8432,0.9837,0.9492,1.0,0.0506,0.8931,0.6962,312,79
behavior_stage,Standard 80/20,RandomForest,0.9241,0.8608,0.9747,0.9115,0.909,0.8278,0.9696,0.9238,0.9487,0.0246,0.8687,0.5696,312,79
behavior_stage,Standard 80/20,GradientBoosting,0.9114,0.8354,0.962,0.8983,0.8883,0.7946,0.9561,0.9134,1.0,0.0886,0.9918,0.9873,312,79
stage_binary,Standard 80/20,ExtraTrees,0.8861,0.8101,0.9494,0.8957,0.8783,0.7876,0.9437,0.888,0.9679,0.0818,0.9027,0.7848,312,79
behavior_stage,Standard 80/20,ExtraTrees,0.8861,0.8101,0.9494,0.868,0.8643,0.7702,0.9411,0.8878,0.9487,0.0626,0.8577,0.5316,312,79
behavior_stage,Standard 80/20,LogisticRegression,0.8861,0.8101,0.9494,0.868,0.8585,0.7633,0.9313,0.8895,0.9615,0.0754,0.8507,0.519,312,79
